"x" "Density" "Velocity" "TotalEnergy" "Temperature" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "H2O2" "AR" "N2"
5e-05 0.175066 -782.819 109318 2874.12 0.00214072 0.000512048 0.00333042 0.0121652 0.0118123 0.0841783 2.42998e-06 1.53153e-07 0.885858 0
0.00015 0.175068 -782.812 109317 2874.05 0.00214079 0.000512103 0.00333072 0.0121659 0.0118123 0.0841772 2.42974e-06 1.53186e-07 0.885858 0
0.00025 0.17507 -782.805 109317 2873.99 0.00214086 0.00051216 0.00333103 0.0121665 0.0118124 0.084176 2.42949e-06 1.5322e-07 0.885858 0
0.00035 0.175072 -782.798 109316 2873.92 0.00214093 0.000512216 0.00333135 0.0121672 0.0118124 0.0841748 2.42924e-06 1.53254e-07 0.885858 0
0.00045 0.175075 -782.791 109316 2873.85 0.00214101 0.000512273 0.00333166 0.012168 0.0118124 0.0841736 2.42899e-06 1.53288e-07 0.885858 0
0.00055 0.175077 -782.783 109316 2873.79 0.00214108 0.000512331 0.00333198 0.0121687 0.0118125 0.0841724 2.42875e-06 1.53323e-07 0.885858 0
0.00065 0.17508 -782.775 109316 2873.72 0.00214116 0.000512389 0.0033323 0.0121694 0.0118125 0.0841712 2.4285e-06 1.53358e-07 0.885858 0
0.00075 0.175083 -782.767 109316 2873.66 0.00214123 0.000512447 0.00333263 0.0121701 0.0118126 0.08417 2.42826e-06 1.53394e-07 0.885858 0
0.00085 0.175086 -782.757 109316 2873.59 0.00214131 0.000512506 0.00333296 0.0121708 0.0118127 0.0841687 2.42803e-06 1.53429e-07 0.885858 0
0.00095 0.17509 -782.746 109317 2873.53 0.00214139 0.000512566 0.00333329 0.0121715 0.0118128 0.0841674 2.4278e-06 1.53464e-07 0.885858 0
0.00105 0.175093 -782.734 109317 2873.46 0.00214147 0.000512626 0.00333363 0.0121723 0.0118129 0.0841661 2.42758e-06 1.535e-07 0.885858 0
0.00115 0.175097 -782.721 109318 2873.4 0.00214156 0.000512687 0.00333398 0.012173 0.011813 0.0841647 2.42737e-06 1.53535e-07 0.885858 0
0.00125 0.175101 -782.707 109319 2873.34 0.00214164 0.000512749 0.00333433 0.0121738 0.0118131 0.0841634 2.42715e-06 1.53571e-07 0.885858 0
0.00135 0.175105 -782.693 109321 2873.28 0.00214173 0.000512811 0.00333469 0.0121745 0.0118132 0.084162 2.42695e-06 1.53607e-07 0.885858 0
0.00145 0.17511 -782.679 109322 2873.22 0.00214182 0.000512875 0.00333505 0.0121753 0.0118134 0.0841605 2.42674e-06 1.53643e-07 0.885858 0
0.00155 0.175114 -782.664 109324 2873.16 0.00214191 0.00051294 0.00333542 0.0121761 0.0118135 0.084159 2.42654e-06 1.53679e-07 0.885858 0
0.00165 0.175119 -782.649 109326 2873.1 0.002142 0.000513007 0.00333581 0.0121769 0.0118137 0.0841575 2.42633e-06 1.53716e-07 0.885858 0
0.00175 0.175123 -782.635 109328 2873.04 0.00214209 0.000513074 0.0033362 0.0121777 0.0118139 0.084156 2.42613e-06 1.53753e-07 0.885858 0
