"x" "Density" "Velocity" "TotalEnergy" "Temperature" "O2" "H2O" "H" "O" "OH" "H2" "HO2" "H2O2" "AR"
0 0.169488 -815.421 105480.63 2841.07 0.012133367 0.084632125 0.00050510455 0.0032528445 0.01150034 0.0021153745 2.2518465e-06 1.5574113e-07 0.88585844
0.0044811 0.169488 -815.421 105480.63 2841.07 0.012133367 0.084632125 0.00050510455 0.0032528445 0.01150034 0.0021153745 2.2518465e-06 1.5574113e-07 0.88585844
0.0089996 0.17087 -808.827 106398.92 2838.25 0.012250219 0.084344469 0.00051560176 0.0033191554 0.011577267 0.0021325129 2.254906e-06 1.6052145e-07 0.88585836
0.0113779 0.171756 -804.652 106994.88 2836.25 0.012326586 0.084157699 0.00052252167 0.0033626833 0.011625977 0.0021435851 2.256204e-06 1.6385855e-07 0.88585853
0.0155634 0.173668 -795.793 108300.31 2831.48 0.012494461 0.083751201 0.00053791166 0.0034590412 0.011729113 0.0021676067 2.25734e-06 1.710471e-07 0.88585824
0.0195701 0.176061 -784.975 109972.77 2824.66 0.012710187 0.083234553 0.00055804481 0.0035841641 0.011854219 0.0021978352 2.2559367e-06 1.8096299e-07 0.88585856
0.0227908 0.178546 -774.051 111751.84 2816.68 0.012939604 0.082692484 0.00057991509 0.0037189791 0.011978828 0.0022292486 2.2516801e-06 1.9219521e-07 0.8858585
0.0253834 0.181049 -763.35 113585.88 2807.8 0.013175425 0.082142185 0.0006028882 0.0038594389 0.012098434 0.0022607774 2.2451321e-06 2.0451639e-07 0.8858584
0.0268536 0.182729 -756.333 114838.61 2801.4 0.013335748 0.081771562 0.00061880065 0.0039560806 0.012175137 0.00228179 2.2397442e-06 2.1337143e-07 0.88585843
0.0275222 0.183568 -752.877 115472.59 2798.09 0.013416459 0.081586262 0.00062689334 0.0040050268 0.012212342 0.0022922291 2.2368315e-06 2.1796618e-07 0.88585833
0.0294624 0.18632 -741.757 117576.59 2786.68 0.013683153 0.080978456 0.00065409068 0.0041685271 0.012328921 0.0023261504 2.2265282e-06 2.3397397e-07 0.88585824
0.0317435 0.190321 -726.162 120716.33 2768.8 0.014075463 0.080097649 0.00069529488 0.0044134589 0.012482981 0.002374377 2.2106688e-06 2.5978923e-07 0.88585831
0.033547 0.19429 -711.329 123920.67 2749.77 0.014468046 0.079231788 0.00073793606 0.0046635302 0.012617097 0.0024206501 2.1957248e-06 2.8861478e-07 0.88585847
0.0351179 0.198561 -696.027 127458.06 2728.08 0.014892231 0.078313976 0.00078559793 0.0049390288 0.012740006 0.0024684267 2.1824731e-06 3.2355329e-07 0.88585823
0.0359795 0.201333 -686.443 129801.63 2713.44 0.015167711 0.077727258 0.00081742159 0.0051206489 0.0128078 0.0024982223 2.1762779e-06 3.4858716e-07 0.88585841
0.03644005 0.202971 -680.905 131203.82 2704.61 0.015330243 0.077384678 0.00083652074 0.0052287482 0.01284343 0.0025153438 2.1737005e-06 3.6431513e-07 0.8858585
0.03714482 0.205726 -671.785 133589.45 2689.49 0.015603436 0.076815169 0.00086913162 0.0054118305 0.012896068 0.0025433441 2.1714368e-06 3.9230052e-07 0.88585846
0.03833601 0.211246 -654.234 138469.54 2658.37 0.016147991 0.075702798 0.00093605395 0.0057815425 0.012974275 0.002596262 2.1755086e-06 4.5528906e-07 0.88585845
0.03926561 0.216573 -638.14 143295.2 2627.51 0.016669222 0.074667153 0.001002418 0.0061402617 0.013016383 0.0026432717 2.1916144e-06 5.2536677e-07 0.88585857
0.04004326 0.222011 -622.511 148332.31 2595.45 0.017195602 0.073651167 0.0010716376 0.0065061117 0.013027176 0.0026871173 2.2210904e-06 6.0759605e-07 0.88585836
0.04051514 0.225904 -611.781 152003.24 2572.26 0.01756865 0.072949026 0.0011219727 0.0067667917 0.013016069 0.0027159808 2.2504447e-06 6.7388637e-07 0.88585859
0.04069424 0.22753 -607.41 153550.26 2562.54 0.017723395 0.072662447 0.001143148 0.0068751072 0.013007032 0.0027274189 2.2647216e-06 7.0373215e-07 0.88585848
